snt_id,sdr,sdr_i,si-snr,si-snr_i
item1397,25.35252,25.499022,21.24273109436035,21.504253387451172
item1398,25.017132,25.702522,20.51254653930664,21.474924087524414
item1399,26.619177,28.99931,18.499835968017578,21.22429847717285
item139,18.9343,17.238976,15.069296836853027,13.897993087768555
item13,29.670284,30.310795,21.777267456054688,22.665220260620117
item1400,21.969555,22.217087,17.359851837158203,18.16498565673828
item1401,16.821348,18.40124,12.379711151123047,14.60690689086914
item1402,26.665928,29.484337,20.895736694335938,23.97798728942871
item1403,25.641783,26.040585,21.019075393676758,21.61275863647461
item1404,27.916792,27.965218,19.170475006103516,19.39336585998535
item1405,26.52341,26.120094,20.010757446289062,19.753677368164062
item1406,22.63409,23.109339,18.728424072265625,19.391494750976562
item1407,22.711191,22.514854,17.442045211791992,17.466888427734375
item1408,26.17487,26.334904,19.86737060546875,20.48690414428711
item1409,23.269646,23.596508,18.172603607177734,18.64801788330078
item140,28.876553,29.08385,23.210220336914062,23.56998062133789
item1410,28.869488,28.882523,21.671175003051758,21.846336364746094
item1411,22.009533,24.088396,18.26882553100586,21.04769515991211
item1412,18.196836,19.920319,14.114618301391602,16.41145133972168
item1413,25.127796,26.135147,18.044883728027344,19.326953887939453
item1414,25.621874,27.204275,22.018329620361328,23.778274536132812
item1415,26.479694,27.864204,21.139537811279297,23.224742889404297
item1416,29.84961,29.489525,22.937856674194336,22.732906341552734
item1417,23.653826,23.612831,19.055028915405273,19.41745948791504
item1418,28.682388,29.026417,20.76108741760254,21.368408203125
item1419,26.971163,27.382614,20.876468658447266,21.52318000793457
